"1","1276-1771-2-ND","C1"
"1","478-1529-2-ND","C2"
"1","1516-1073-2-N","D1"
"1","1516-1072-2-ND","D2"
"1","478-7805-2-ND","D3"
"1","1516-1076-2-ND","D4"
"2","ED2561-ND","J2,J3"
"1","ZVN4206GVTR-ND","Q1"
"5","RMCF1210FT1K00","R3,R2,R1,R4,R6"
"2","P2.0KVTR-ND","R5,R7"
"1","497-7255-2-ND","U1"
